time,latitude,longitude,depth,mag,wilayah
2023-01-01 00:42:15.411839+00:00,-0.6860863566,124.4642944,10,2.951838025,Southern Molucca Sea
2023-01-01 00:45:31.086060+00:00,0.1574347466,123.5842361,80,2.795099184,"Minahassa Peninsula, Sulawesi"
2023-01-01 00:50:33.188997+00:00,-2.714328527,128.5373688,10,3.845423831,Ceram Sea
2023-01-01 02:44:57.972377+00:00,-3.629284143,121.5447617,10,2.611311578,"Sulawesi, Indonesia"
2023-01-01 02:47:25.465354+00:00,-1.417636514,100.466095,54,3.179798561,"Southern Sumatra, Indonesia"
2023-01-01 02:51:18.031499+00:00,-3.501356602,121.5173645,10,2.799240384,"Sulawesi, Indonesia"
2023-01-01 02:52:35.978504+00:00,-3.696038246,121.5213013,10,2.634936936,"Sulawesi, Indonesia"
2023-01-01 02:58:09.855215+00:00,-3.623401642,121.5122528,10,2.669745149,"Sulawesi, Indonesia"
2023-01-01 04:09:31.392248+00:00,-4.942230701,102.7967377,17,3.938537366,"Southern Sumatra, Indonesia"
2023-01-01 04:20:09.713524+00:00,-1.513353705,99.87556458,21,3.781037207,"Southern Sumatra, Indonesia"
2023-01-01 07:28:12.784295+00:00,-0.2655260861,122.9627533,14,2.523841051,"Minahassa Peninsula, Sulawesi"
2023-01-01 09:24:02.701272+00:00,-5.282202721,103.1561737,24,3.152146379,"Southern Sumatra, Indonesia"
2023-01-01 10:17:42.705711+00:00,2.129771471,128.2999115,10,3.663750889,"Halmahera, Indonesia"
2023-01-01 10:38:08.278458+00:00,0.1446972042,124.1170425,76,3.122808731,"Minahassa Peninsula, Sulawesi"
2023-01-01 10:52:38.469542+00:00,-6.782072067,107.1270752,19,2.990329052,"Java, Indonesia"
2023-01-01 11:42:09.856972+00:00,-6.797294617,107.0813751,12,1.885978883,"Java, Indonesia"
2023-01-01 13:03:47.808860+00:00,2.059515715,98.89860535,10,2.93110217,"Northern Sumatra, Indonesia"
2023-01-01 13:13:10.464407+00:00,2.04255724,98.87454224,10,2.69701704,"Northern Sumatra, Indonesia"
2023-01-01 13:37:51.401151+00:00,-2.969299555,128.3484344,13,3.748340315,Ceram Sea
2023-01-01 14:06:12.622641+00:00,-7.228240013,106.802597,114,3.000709287,"Java, Indonesia"
2023-01-01 14:15:21.112911+00:00,-9.132603645,109.5621567,10,3.515474219,"South of Java, Indonesia"
2023-01-01 14:38:38.919492+00:00,-2.50216794,139.7614288,38,2.956915632,Near North Coast of West Papua
2023-01-01 14:41:05.363986+00:00,-1.164655089,120.2283173,10,3.038601529,"Sulawesi, Indonesia"
2023-01-01 15:38:14.570844+00:00,-7.600121498,106.6613388,29,3.484056146,"Java, Indonesia"
2023-01-01 15:46:18.090883+00:00,2.05509305,98.90572357,10,2.695374719,"Northern Sumatra, Indonesia"
2023-01-01 15:55:07.905080+00:00,2.093710423,98.88129425,10,3.775708253,"Northern Sumatra, Indonesia"
2023-01-01 17:17:23.602893+00:00,1.076226592,121.7622452,12,3.858402289,"Minahassa Peninsula, Sulawesi"
2023-01-01 18:24:33.750788+00:00,-2.534865141,140.7386475,11,5.41848717,Near North Coast of West Papua
2023-01-01 18:50:57.811168+00:00,3.138867378,127.8055878,112,4.084852542,"Talaud Islands, Indonesia"
2023-01-01 18:51:30.327298+00:00,-2.498445988,140.7000885,10,4.086420363,Near North Coast of West Papua
2023-01-01 19:03:05.217829+00:00,2.202564001,128.2129974,139,3.924056234,"Halmahera, Indonesia"
2023-01-01 19:06:55.537173+00:00,-2.554055929,140.7838745,10,3.369161858,Near North Coast of West Papua
