datetime,latitude,longitude,magnitude,depth,dirasakan,wilayah
2026-07-07 01:23:53+00:00,-0.66,131.5,4.5,10.0,IV Kota Sorong,Pusat gempa berada di laut 34 km timur laut Kota Sorong
2026-07-07 07:16:27+00:00,3.14,127.44,5.6,10.0,II-III Naha,Pusat gempa berada di laut 101 km barat laut Pulau Doi
2026-07-07 15:36:08+00:00,2.86,97.66,4.4,44.0,"II - III Subulussalam, II-III Aceh Singkil",Pusat gempa berada di darat 47 Km barat laut Kota Subulussalam
2026-07-07 16:57:28+00:00,4.76,96.77,2.1,8.0,II Bener Meriah,Pusat gempa berada di darat 10 Km barat Kab. Bener Meriah
2026-07-07 19:44:53+00:00,-6.79,105.12,5.5,10.0,"II-III Kecamatan Simpenan , II-III Kabupaten Bogor",Pusat gempa berada di laut 52 km Baratdaya Sumur
2026-07-09 01:09:36+00:00,-3.76,119.02,4.7,13.0,"III-IV Majene, III-IV Polewali Mandar, III-IV Pare-pare, II-III Sidrap, II-III Mamuju, II-III Makassar, II-III Pangkep, II-III Gowa, III-IV Pinrang",Pusat gempa berada di laut 50 km Selatan Polewali Mandar
2026-07-09 03:26:42+00:00,-2.39,140.53,4.4,8.0,III-IV Jayapura,Pusat gempa berada di laut 25 km TimurLaut Jayapura
2026-07-09 05:10:59+00:00,-6.8,107.68,2.6,25.0,"II-III Lembang, II-III Parongpong",Pusat gempa berada di darat 16 km Timur Laut Kota Cimahi
2026-07-10 10:18:45+00:00,-4.07,121.82,1.7000000000000002,5.0,II Kolaka Timur,Pusat gempa berada di darat 9 km Barat Daya Kolaka Timur
2026-07-10 17:48:33+00:00,-2.5300000000000002,121.2,3.7,2.0,"III Malili, III Wasuponda",Pusat gempa berada di darat 13 km timur laut Luwu Timur
2026-07-11 12:47:31+00:00,-7.66,107.0,4.3,22.0,"III Kab. Sukabumi, III Kab. Cianjur, II-III Kab. Bandung, II-III Kab. Bandung Barat, II-III Kab. Garut, II-III Kab. Tasikmalaya",Pusat gempa berada di laut 82 km tenggara Kota Sukabumi
2026-07-12 11:38:41+00:00,4.08,97.2,3.4,16.0,II Bener Meriah,Pusat gempa berada di darat 19 km barat laut Kab. Gayo Lues
2026-07-12 13:20:25+00:00,-9.65,119.37,5.3,13.0,"III-IV Sumba Barat Daya, III-IV Sumba Barat, III-IV Sumba Tengah, III-IV Sumba Timur, III Manggarai Barat",Pusat gempa berada di laut 2 km Barat Daya Waikabubak
2026-07-12 13:46:35+00:00,1.31,121.38,5.4,10.0,"IV Tolitoli, IV Buol, II-III Pohuwato, II-III Gorontalo Utara",Pusat gempa berada di laut 37 km Timur Laut Buol
2026-07-12 16:40:27+00:00,4.13,97.44,4.0,5.0,II-III Bener Meriah,Pusat gempa berada di darat 18 km timur laut Kab. Gayo Lues
2026-07-13 09:07:12+00:00,-4.08,121.84,2.8,5.0,II-III Kolaka Timur,Pusat gempa berada di darat 9 km Selatan Kolaka Timur
2026-07-13 12:06:26+00:00,-8.16,114.77,4.1,12.0,"III Buleleng, III Jembrana, II-III Banyuwangi",Pusat gempa berada di laut 28 km Timur Laut Jembrana
2026-07-14 09:52:32+00:00,-9.57,119.45,4.2,3.0,III Sumba Barat,Pusat gempa berada di darat 11 km Timur Laut Waikabubak
2026-07-14 15:49:37+00:00,5.34,125.06,6.2,10.0,"II-III Manado, III-IV Kep. Sangihe, II-III Minahasa Selatan, II-III Minahasa",Pusat gempa berada di laut 198 km BaratLaut TAHUNA-KEP.SANGIHE
2026-07-15 17:37:36+00:00,1.6400000000000001,118.08,3.4,21.0,II-III Berau,Pusat gempa berada di darat 91 km tenggara Berau
2026-07-17 00:32:50+00:00,1.09,120.92,3.8,10.0,II-III Toli-Toli,Pusat gempa berada di darat 30 km timur laut Toli-Toli
2026-07-17 14:16:14+00:00,-1.17,120.13,3.4,6.0,II-III Sigi,Pusat gempa berada di darat 37 km Timur laut Sigi
2026-07-17 17:43:34+00:00,-3.41,135.55,3.3,10.0,II Nabire,Pusat gempa berada di darat 7 km tenggara Nabire
2026-07-18 00:50:04+00:00,-0.32,99.0,4.7,26.0,II-III Sungai Beremas,"Pusat gempa berada di laut 71 Km barat daya Airbangis, Pasaman Barat"
2026-07-18 03:10:44+00:00,-0.30000000000000004,100.31,2.9,7.0,II-III MMI Bukittinggi,Pusat gempa berada di darat 6 Km barat laut Bukittinggi
2026-07-18 04:58:50+00:00,-0.24,100.35,3.1,5.0,II Bukittinggi,Pusat gempa berada di darat 7 km barat laut Bukittinggi
2026-07-18 12:54:38+00:00,1.3,121.35,3.3,11.0,II-III Buol,Pusat gempa berada di laut 37 km utara Buol
2026-07-18 13:14:43+00:00,-1.18,120.15,3.2,8.0,II-III Sigi,Pusat gempa berada di darat 38 km timur laut Sigi
2026-07-18 19:55:40+00:00,-8.95,115.62,3.8,82.0,"II Badung, II Gianyar",Pusat gempa berada di laut 47 km timur Kuta Selatan
2026-07-19 08:11:09+00:00,-7.74,106.44,5.0,10.0,"III Cikotok, III KelapaNunggal, III Cidolog, III Cisaat, III Simpenan, III Kota Sukabumi, III Nagrak, II-III Bayah, II-III Panggarangan, II-III Cimahi, II-III Banjaran, II-III Lembang",Pusat gempa berada di laut 79 km barat daya Sukabumi
2026-07-21 12:10:00+00:00,-0.9400000000000001,134.13,3.8,7.0,II-III Manokwari,Pusat gempa berada di laut 11 km Tenggara Manokwari
2026-07-21 17:49:29+00:00,-10.46,121.77,3.5,5.0,II - III Sabu Raijua,Pusat gempa berada di laut 10 km Barat laut Sabu Raijua
2026-07-22 04:15:59+00:00,4.23,97.48,3.8,10.0,IV Gayo Lues,Pusat gempa berada di darat 30 km timur laut Kab. Gayo Lues
2026-07-22 04:18:23+00:00,4.25,97.62,5.6,10.0,"V Gayo Lues, III Medan, III Aceh Selatan, III-IV Aceh Barat Daya, III Sibolga, III Deli Serdang, III-IV Lhokseumawe, II Langsa, IV Aceh Tenggara, III-IV Aceh Utara, III-IV Aceh Timur, III-IV Bener Meriah, III-IV Aceh Tengah, III Aceh Tamiang, II Pidie, II Pidie Jaya",Pusat gempa berada di darat 41 km timur laut Kab. Gayo Lues
2026-07-22 04:26:51+00:00,4.17,97.42,3.9,10.0,III Gayo Lues,Pusat gempa berada di darat 22 km timur laut Kab. Gayo Lues
2026-07-22 04:29:22+00:00,4.16,97.46,3.0,6.0,"IV Gayo Lues, II Bireuen, II Aceh Utara, II Lhokseumawe",Pusat gempa berada di darat 22 km timur laut Kab. Gayo Lues
2026-07-22 04:41:09+00:00,4.19,97.46,4.3,4.0,"IV Gayo Lues, III Bener Meriah, II-III Lhokseumawe, II-III Aceh Utara, II Bireuen, II Aceh Tamiang, II Aceh Timur",Pusat gempa berada di darat 26 km timur laut Kab. Gayo Lues
2026-07-22 14:22:12+00:00,-8.16,117.75,3.9,12.0,"III Kabupaten Bima, III Kabupaten Dompu",Pusat gempa berada didarat 51Km Timur Laut Sumbawa
2026-07-22 17:36:41+00:00,4.25,97.63,4.4,5.0,"III Blangkejeren, II Kuta Cane, II Bener Meriah, II Aceh Tengah, II Aceh Timur, II Langsa",Pusat gempa berada di darat 43 km Timur Laut Kab. Gayo Lues
2026-07-22 19:37:14+00:00,-8.16,117.75,4.3,19.0,"III Kab.Bima, III Kab.Dompu, III Kab.Sumbawa",Pusat gempa berada didarat 51 Km Timur Laut Sumbawa
