time,latitude,longitude,depth,mag,wilayah
2018-01-01 00:52:32.918416+00:00,-0.3297252357,123.7307587,112,5.113972266,"Minahassa Peninsula, Sulawesi"
2018-01-01 02:47:53.647565+00:00,-1.399811983,120.4688568,10,2.352005334,"Sulawesi, Indonesia"
2018-01-01 03:03:26.141063+00:00,-9.41572094,117.8953857,24,2.385312034,"Sumbawa Region, Indonesia"
2018-01-01 03:07:09.779616+00:00,1.4174757,122.0446396,17,1.898969207,"Minahassa Peninsula, Sulawesi"
2018-01-01 03:24:53.710573+00:00,-6.111868858,130.3360443,157,4.272192754,Banda Sea
2018-01-01 03:32:13.824989+00:00,-3.240516424,128.8366394,10,3.489426465,"Seram, Indonesia"
2018-01-01 04:30:53.260872+00:00,-0.2395057827,123.074585,63,2.303248871,"Minahassa Peninsula, Sulawesi"
2018-01-01 04:59:02.398095+00:00,2.306486845,97.06472015,59,2.897296174,"Northern Sumatra, Indonesia"
2018-01-01 05:22:39.047413+00:00,0.186392948,121.9549408,155,2.445145097,"Minahassa Peninsula, Sulawesi"
2018-01-01 07:26:01.694778+00:00,-4.410620213,102.1420898,43,4.814253139,"Southern Sumatra, Indonesia"
2018-01-01 07:31:59.592129+00:00,-0.2271568179,122.9437103,12,2.689621423,"Minahassa Peninsula, Sulawesi"
2018-01-01 07:48:02.210495+00:00,0.5850551128,122.3369598,61,1.693964099,"Minahassa Peninsula, Sulawesi"
2018-01-01 09:03:09.976368+00:00,-0.7186818123,131.1229706,17,2.53248606,"Irian Jaya Region, Indonesia"
2018-01-01 09:04:33.514619+00:00,-0.2773602307,125.3482056,10,4.017314463,Southern Molucca Sea
2018-01-01 09:17:57.802171+00:00,-3.506725073,119.0985718,22,2.546191232,"Sulawesi, Indonesia"
2018-01-01 10:40:23.626192+00:00,-6.901141644,106.8326035,10,3.287454003,"Java, Indonesia"
2018-01-01 15:55:23.595847+00:00,-9.476695061,118.1072235,22,3.102701729,"Sumbawa Region, Indonesia"
2018-01-01 16:05:54.589353+00:00,-7.657048225,119.2752533,19,3.536584146,Flores Sea
2018-01-01 16:16:02.602140+00:00,-9.824396133,124.2500763,10,3.055275195,Timor Region
2018-01-01 16:25:36.018827+00:00,-7.964538574,116.8426971,288,4.47673599,Bali Sea
2018-01-01 16:32:38.570670+00:00,-8.4876194,121.2994919,181,4.52756857,"Flores Region, Indonesia"
2018-01-01 17:38:34.286156+00:00,0.2740087509,121.8291779,170,2.639327628,"Minahassa Peninsula, Sulawesi"
2018-01-01 17:46:54.712513+00:00,1.005684257,132.5158691,10,3.323318677,"Irian Jaya Region, Indonesia"
2018-01-01 18:32:23.249939+00:00,-8.295733452,123.5341797,10,2.888187326,"Flores Region, Indonesia"
2018-01-01 22:28:09.416289+00:00,-0.2020260394,125.4075546,10,3.34020159,Southern Molucca Sea
2018-01-01 22:48:12.814790+00:00,-0.01406405214,122.5488892,158,2.36690419,"Minahassa Peninsula, Sulawesi"
2018-01-02 01:40:50.313600+00:00,-9.621804237,115.4761581,17,3.117283083,"South of Bali, Indonesia"
2018-01-02 01:47:44.599701+00:00,-7.309830666,128.290802,196,4.124837215,Banda Sea
2018-01-02 02:21:29.781037+00:00,-8.292072296,119.9902802,172,3.866336751,"Flores Region, Indonesia"
2018-01-02 02:27:03.154269+00:00,4.561816216,124.4538651,10,3.5173375,Celebes Sea
2018-01-02 03:52:52.076392+00:00,-9.975344658,124.9636993,18,2.956500106,Timor Region
2018-01-02 06:46:05.649802+00:00,0.2923543453,122.4785843,12,2.776940723,"Minahassa Peninsula, Sulawesi"
2018-01-02 07:11:56.854206+00:00,1.398090243,99.70253754,185,4.270083533,"Northern Sumatra, Indonesia"
2018-01-02 09:50:56.470296+00:00,-9.3159132,122.4271545,14,2.849194294,Savu Sea
