time,latitude,longitude,depth,mag,wilayah
2013-01-01 01:18:48.044363+00:00,1.410429239,122.0948944,14,3.155232099,"Minahassa Peninsula, Sulawesi"
2013-01-01 06:27:46.296848+00:00,-8.84223938,124.3699112,99,3.532118742,Timor Region
2013-01-01 08:40:03.229187+00:00,2.416579247,96.17203522,10,3.097391274,"Northern Sumatra, Indonesia"
2013-01-01 09:21:20.005519+00:00,-0.111912109,98.47387695,50,4.525124735,"Southern Sumatra, Indonesia"
2013-01-01 10:13:37.140974+00:00,-3.533987999,139.0581818,27,4.410729014,"Irian Jaya, Indonesia"
2013-01-01 11:55:35.813172+00:00,-7.976124287,107.3387909,10,4.448927924,"Java, Indonesia"
2013-01-01 13:02:02.196858+00:00,-2.673636675,129.2447968,102,3.283613119,"Seram, Indonesia"
2013-01-01 13:03:07.737511+00:00,-9.592756271,120.1398926,60,3.118580393,"Sumba Region, Indonesia"
2013-01-01 13:08:15.329715+00:00,-6.81131649,130.3638611,113,4.286241127,Banda Sea
2013-01-01 15:18:36.619858+00:00,-1.074862957,126.9554138,10,4.902897469,Southern Molucca Sea
2013-01-01 16:22:38.816962+00:00,-9.161986351,123.6525497,10,3.205275351,Timor Region
2013-01-01 16:39:16.743715+00:00,-6.221613884,104.1615067,20,3.135850946,"Sunda Strait, Indonesia"
2013-01-01 16:59:32.176172+00:00,-5.617828369,103.9727097,44,4.745425942,"Southern Sumatra, Indonesia"
2013-01-01 17:45:15.141288+00:00,-6.316246986,130.3156586,10,4.701278608,Banda Sea
2013-01-01 20:04:58.681488+00:00,2.257533312,96.02899933,11,4.467844978,"Northern Sumatra, Indonesia"
2013-01-01 20:56:27.831203+00:00,-8.017262459,111.6652527,98,3.327639446,"Java, Indonesia"
2013-01-01 22:36:18.029857+00:00,-1.18633604,120.2883377,10,3.75235907,"Sulawesi, Indonesia"
2013-01-01 23:37:52.050367+00:00,2.425070524,128.2203827,254,4.665998607,"Halmahera, Indonesia"
2013-01-02 01:58:50.330500+00:00,-8.392972946,121.3609619,10,4.300837742,"Flores Region, Indonesia"
2013-01-02 02:00:20.694267+00:00,-3.011969566,100.9511566,13,4.98448677,"Southern Sumatra, Indonesia"
2013-01-02 07:19:50.429385+00:00,-6.437458038,130.0370789,168,4.718208809,Banda Sea
2013-01-02 08:00:14.425519+00:00,-8.527393341,119.5914688,159,2.745000185,"Flores Region, Indonesia"
2013-01-02 12:41:12.602027+00:00,-8.882584572,112.5428162,30,3.905127397,"Java, Indonesia"
2013-01-02 14:35:14.852384+00:00,-2.101669312,100.6251297,10,3.637624301,"Southern Sumatra, Indonesia"
2013-01-02 14:57:45.535142+00:00,-10.71231461,113.8562088,89,4.817847487,"South of Java, Indonesia"
2013-01-02 15:56:21.995411+00:00,-0.6682052016,121.7417831,36,4.878115041,"Minahassa Peninsula, Sulawesi"
2013-01-02 16:24:09.645722+00:00,3.957044601,127.7105637,149,4.694938947,"Talaud Islands, Indonesia"
2013-01-03 00:07:02.406812+00:00,-1.782037497,127.2969589,10,5.027746153,"Halmahera, Indonesia"
2013-01-03 03:03:07.956521+00:00,-0.3787406683,132.2152557,10,3.528419241,"Irian Jaya Region, Indonesia"
2013-01-03 04:48:17.353193+00:00,-1.578818083,127.4981384,10,4.406150872,"Halmahera, Indonesia"
2013-01-03 08:56:55.088409+00:00,2.467306376,96.50259399,10,3.188238178,"Northern Sumatra, Indonesia"
2013-01-03 14:17:30.720607+00:00,-2.491274595,121.4938354,10,3.941149563,"Sulawesi, Indonesia"
2013-01-03 14:35:46.228597+00:00,-8.96546936,116.9089584,10,3.218646518,"Sumbawa Region, Indonesia"
2013-01-03 16:44:57.409481+00:00,-4.483960152,138.9724426,54,4.614566928,"Irian Jaya, Indonesia"
2013-01-03 17:44:54.893859+00:00,-8.743148804,118.360672,113,3.483665901,"Sumbawa Region, Indonesia"
2013-01-03 17:54:33.921064+00:00,-7.916124821,106.333992,10,3.908627771,"Java, Indonesia"
2013-01-03 18:24:44.816986+00:00,-8.621902466,110.3961945,56,2.951816675,"Java, Indonesia"
2013-01-03 21:41:48.746680+00:00,-2.854279757,119.7447586,10,3.392649314,"Sulawesi, Indonesia"
2013-01-04 03:00:49.102654+00:00,-7.633315563,128.7875519,121,4.54327193,Banda Sea
2013-01-04 04:12:41.713435+00:00,1.670355201,122.0345078,24,4.2974056,"Minahassa Peninsula, Sulawesi"
2013-01-04 05:28:13.405015+00:00,-8.94532299,119.0185776,89,4.131058148,"Flores Region, Indonesia"
2013-01-04 08:31:00.939655+00:00,-2.680360794,128.1216431,14,4.482836235,Ceram Sea
2013-01-04 09:44:29.417543+00:00,0.6169967651,96.64394379,11,3.45022945,Off West Coast of Northern Sumatra
2013-01-04 09:48:59.006331+00:00,-1.430060506,127.3211899,17,4.117015721,"Halmahera, Indonesia"
2013-01-04 11:04:00.370948+00:00,-1.479059219,119.57164,10,3.519514874,"Sulawesi, Indonesia"
2013-01-04 11:49:44.287208+00:00,-10.49169922,113.8444366,10,3.783947517,"South of Java, Indonesia"
2013-01-04 17:18:50.842417+00:00,-9.940718651,121.7369308,11,3.63461922,Savu Sea
2013-01-04 17:40:23.776573+00:00,-3.702911139,119.4956894,10,2.662086474,"Sulawesi, Indonesia"
2013-01-04 17:59:14.882052+00:00,1.35930717,127.1551056,122,4.629773372,"Halmahera, Indonesia"
2013-01-04 19:00:27.129711+00:00,1.687224865,99.40965271,159,3.351765564,"Northern Sumatra, Indonesia"
2013-01-04 20:41:32.498715+00:00,-6.743619442,104.1267624,11,3.269858477,"Sunda Strait, Indonesia"
